,ISO,Country,Current account balance,General government net lending/borrowing,"Gross domestic product per capita, constant prices","Gross domestic product, constant prices","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices",countriesAndTerritories,cases,deaths,popData2019,Death rate
49,ABW,Aruba,-11.153,-15.681,-14.072,-13.7,3.883,1.514,-0.663,Aruba,4038,30,106310,0.007429421
0,AFG,Afghanistan,4.898,-4,-4.291,-3.007,74.792,4.711,4.5,Afghanistan,39290,1458,38041757,0.037108679
21,AGO,Angola,-6.719,-5.978,-4.246,-1.374,199.329,20.719,20.979,Angola,5114,185,31825299,0.036175205
7,ALB,Albania,-11.226,-5.393,-4.854,-5.006,38.078,2.39,2.6,Albania,13965,389,2862427,0.027855353
1267,ARE,United Arab Emirates,1.52,-11.128,-6.353,-3.492,722.67,-1,-1,United_Arab_Emirates,96529,424,9770526,0.004392462
35,ARG,Argentina,,,-6.653,-5.719,864.887,,,Argentina,779676,20599,44780675,0.026419949
42,ARM,Armenia,-8.56,-4.986,-1.487,-1.479,33.141,0.847,1.535,Armenia,51382,966,2957728,0.018800358
28,ATG,Antigua and Barbuda,-25.567,-9.46,-11.321,-9.998,2.506,1.443,1.348,Antigua_and_Barbuda,106,3,97115,0.028301887
56,AUS,Australia,-0.631,-9.726,-8.088,-6.665,"1,279.36",1.431,1.164,Australia,27113,890,25203200,0.032825582
63,AUT,Austria,1.898,-7.095,-7.63,-6.997,446.265,0.44,0.3,Austria,47189,803,8858775,0.017016678
70,AZE,Azerbaijan,-8.249,-12.822,-3.344,-2.184,184.418,3.3,3.3,Azerbaijan,40453,594,10047719,0.014683707
182,BDI,Burundi,-17.115,-8.996,-8.293,-5.542,8.281,8,10.427,Burundi,513,1,11530577,0.001949318
105,BEL,Belgium,-0.702,-8.875,-7.404,-6.924,536.621,0.253,-0.167,Belgium,124140,10037,11455519,0.080852264
119,BEN,Benin,-5.323,-2.808,1.66,4.519,42.749,-0.801,-0.801,Benin,2357,41,11801151,0.017394994
175,BFA,Burkina Faso,-4.268,-5,-0.887,1.996,48.553,3.2,3.2,Burkina_Faso,2123,58,20321383,0.02731983
84,BGD,Bangladesh,-2.167,-6.425,0.973,2.019,860.916,5.53,5.53,Bangladesh,366383,5305,163046173,0.014479384
168,BGR,Bulgaria,1.663,-2.94,-3.45,-4,165.13,1.029,1,Bulgaria,21336,838,7000039,0.03927634
77,BHR,Bahrain,-9.639,-15.708,-5.481,-3.59,74.649,2.6,2.4,Bahrain,71803,255,1641164,0.003551384
1183,BHS,The Bahamas,-12.674,-8.447,-9.338,-8.325,11.807,2.37,2.908,Bahamas,4220,96,389486,0.022748815
140,BIH,Bosnia and Herzegovina,-7.48,-4.424,-4.903,-5,47.54,-0.64,-0.64,Bosnia_and_Herzegovina,27745,854,3300998,0.030780321
98,BLR,Belarus,-2.932,-4.632,-5.519,-5.992,184.593,5.608,6.532,Belarus,79421,844,9452409,0.010626912
112,BLZ,Belize,-18.625,-5.188,-13.722,-11.997,2.974,0.999,0.8,Belize,2080,28,390351,0.013461538
133,BOL,Bolivia,-4.624,-7.323,-4.318,-2.9,91.225,2.262,4.106,Bolivia,136219,8045,11513102,0.059059309
154,BRA,Brazil,-1.771,-9.349,-5.936,-5.303,"3,316.92",3.555,3.01,Brazil,4880523,145388,211049519,0.02978943
91,BRB,Barbados,-7.765,-0.552,-7.834,-7.6,5.051,4.464,0.722,Barbados,193,7,287021,0.03626943
